@@@0001	sound	cmpci	CMD8338	C3D Audio	HAS_OPL3|HAS_DMA16
API4536	unknown	unknown	AcerView	7154e	unknown
API4538	unknown	unknown	AcerView	7156e	unknown
API454C	unknown	unknown	AcerView	7176ie	unknown
API454E	unknown	unknown	AcerView	7178ie	unknown
API4938	unknown	unknown	AcerView	7156i	unknown
API494C	unknown	unknown	AcerView	76i	unknown
API494E	unknown	unknown	AcerView	78i	unknown
API4962	unknown	unknown	AcerView	98i	unknown
API4C21	unknown	unknown	AcerView	33DL	unknown
API4C22	unknown	unknown	AcerView	34TL	unknown
API4C37	unknown	unknown	AcerView	55L	unknown
API4C38	unknown	unknown	AcerView	56L	unknown
API4E4C	unknown	unknown	AcerView	76N	unknown
API5321	unknown	unknown	AcerView	7133s	unknown
API5322	unknown	unknown	AcerView	7134s	unknown
API5336	unknown	unknown	AcerView	7154s	unknown
API5338	unknown	unknown	AcerView	7156s	unknown
API534C	unknown	unknown	AcerView	7176is	unknown
API5422	unknown	unknown	AcerView	34T	unknown
ARC0010	unknown	unknown	Alta	EtherTPI/Combo	unknown
ARC0020	unknown	unknown	Alta	TokenCombo-16 S/U	unknown
ASC1000	unknown	unknown	AdvanSys	VL SCSI Host	unknown
AST8001	unknown	unknown	ASTVision	4V	unknown
AST8002	unknown	unknown	ASTVision	4I	unknown
AST8003	unknown	unknown	ASTVision	4N	unknown
AST8004	unknown	unknown	ASTVision	4L	unknown
AST8005	unknown	unknown	ASTVision	5L	unknown
AST8006	unknown	unknown	ASTVision	7L	unknown
AST8007	unknown	unknown	ASTVision	7H	unknown
AST8008	unknown	unknown	ASTVision	20H	unknown
AST8009	unknown	unknown	AST	Sabre	unknown
AST800A	unknown	unknown	ASTVision	5V	unknown
ATI1C10	unknown	unknown	ATI	VGA Wonder XL24	unknown
ATI3010	unknown	unknown	ATI	Graphics Ultra	unknown
ATI4400	unknown	unknown	ATI	Graphics Ultra	unknown
ATI4402	unknown	unknown	ATI	Graphics Ultra Pro (Mach32)	unknown
ATI4410	unknown	unknown	ATI	Graphics Ultra Pro	unknown
ATI5810	unknown	unknown	ATI	GRAPHICS PRO TURBO	unknown
ATK1500	unknown	unknown	Allied Telesyn	AT1510 Ethernet	unknown
AXE2201	ethernet	ne	Xerox Corporation	SN2000	unknown
AZT0500	ide	unknown	Aztech	AZT3000 IDE CDROM	unknown
AZT1003	sound	sb	Aztech	AZT3000	Audio	HAS_DMA16
AZT1605	sound	sb	Aztech	Sound Galaxy Nova 16	unknown
AZT1608	sound	sb	Aztech	Sound Galaxy Pro 16	unknown
AZT2001	unknown	unknown	Aztech	AZT3000	MPU401	unknown
AZT2316	sound	sb	Aztech	Sound Galaxy Washington 16	HAS_DMA16
AZT2320	sound	sb	Aztech	Sound Galaxy 16	HAS_DMA16
AZT3000	unknown	unknown	Aztech	AZT300 EEPROM	unknown
