@@@0001	sound	cmpci	CMD8338	C3D Audio	HAS_OPL3|HAS_DMA16
EIZ0204	unknown	unknown	EIZO	FlexScan F784	unknown
EIZ0206	unknown	unknown	EIZO	FlexScan 6600	unknown
EIZ0300	unknown	unknown	EIZO	FlexScan 6500	unknown
EIZ0302	unknown	unknown	EIZO	9060S	unknown
EIZ0303	unknown	unknown	EIZO	9065S	unknown
EIZ0305	unknown	unknown	EIZO	FlexScan T563	unknown
EIZ0306	unknown	unknown	EIZO	9070S	unknown
EIZ0307	unknown	unknown	EIZO	9080i	unknown
EIZ0308	unknown	unknown	EIZO	9400i	unknown
EIZ0309	unknown	unknown	EIZO	9500	unknown
EIZ030A	unknown	unknown	EIZO	FlexScan F340iW	unknown
EIZ030C	unknown	unknown	EIZO	FlexScan F552	unknown
EIZ030D	unknown	unknown	EIZO	FlexScan F560iW	unknown
EIZ030E	unknown	unknown	EIZO	FlexScan F750i	unknown
EIZ030F	unknown	unknown	EIZO	FlexScan F760iW	unknown
EIZ0310	unknown	unknown	EIZO	FlexScan F780iW	unknown
EIZ0311	unknown	unknown	EIZO	FlexScan T560i	unknown
EIZ0312	unknown	unknown	EIZO	FlexScan T660i	unknown
EIZ0313	unknown	unknown	EIZO	FlexScan T562	unknown
EIZ0314	unknown	unknown	EIZO	FlexScan T662	unknown
EIZ038C	unknown	unknown	EIZO	FlexScan F550iW	unknown
ELS00C3	unknown	unknown	ELSA	ECOMO 21H95	unknown
ELS00EA	unknown	unknown	ELSA	ECOMO 24H96	unknown
ELS0111	modem	ignore	ELSA	MicroLink 28.8TQV	IS_SERIAL
ELS0121	unknown	unknown	ELSA	GDM-20H110	unknown
ELS0152	modem	ignore	ELSA	MicroLink 56k Internet c	IS_SERIAL
ELS01AF	unknown	unknown	ELSA	ECOMO 20S96	unknown
ELS01B1	unknown	unknown	ELSA	ECOMO 17H96	unknown
ELS0210	modem	ignore	ELSA	TKR TriStar	IS_SERIAL
ELS0687	modem	ignore	ELSA	MicroLink 56k	IS_SERIAL
ELS1302	unknown	unknown	ELSA	ECOMO 20H97	unknown
ELSC040	unknown	unknown	ELSA	ECOMO 17H97	unknown
ESS0000	unknown	unknown	ESS	ES1868 Control Interface	unknown
ESS0001	unknown	unknown	ESS	ESS1869 Control Interface
ESS0002	unknown	unknown	ESS	ESS1869 Control Interface
ESS0004	unknown	unknown	ESS	ES1878 Control Interface	unknown
ESS0006	sound	sb	ESS	ESS1869	PnP AudioDrive	HAS_DMA16
ESS0100	sound	sb	ESS	ES688 PnP AudioDrive	unknown
ESS0102	sound	sb	ESS	ES1688 PnP AudioDrive	unknown
ESS0104	sound	sb	ESS	ES1788 PnP AudioDrive	unknown
ESS0106	sound	sb	ESS	ES1888 PnP AudioDrive	unknown
ESS0108	sound	sb	ESS	ES888 PnP AudioDrive	unknown
ESS1481	sound	sb	ESS	ES1488 AudioDrive	unknown
ESS1681	sound	sb	ESS	ES1688 AudioDrive	unknown
ESS1781	sound	sb	ESS	ES1788 AudioDrive	unknown
ESS1868	sound	sb	ESS	ES1868 PnP AudioDrive	HAS_DMA16|HAS_OPL3
ESS1878	sound	sb	ESS	ES1878 PnP AudioDrive	unknown
ESS1881	sound	sb	ESS	ES1888 AudioDrive	unknown
ESS4881	sound	unknown	ESS	ES488 AudioDrive	unknown
ESS6880	sound	sb	ESS	ES688 AudioDrive + game port	HAS_JOYSTICK
ESS6881	sound	sb	ESS	ES688 AudioDrive	unknown
ESS8600	joystick	unknown	Guillemot	Maxi Sound 64 Series GamePort	unknown	unknown
ESS8601	sound	sb	Guillemot	Maxi Sound 64 Series AudioDrive	HAS_MPU401|HAS_DMA16|HAS_OPL3
ESS8602	unknown	unknown	Guillemot	Maxi Sound 64 Series	unknown
ESS8603	unknown	unknown	Guillemot	Maxi Sound 64 Series OPL3	unknown
ESS8881	sound	sb	ESS	ES888 AudioDrive	unknown
EXI0001	unknown	unknown	Exide	UPS	unknown
FDC0000	unknown	unknown	Future Domain	TMC-18XX SIC SCSI Host	unknown
FDC0950	unknown	unknown	Future Domain	TMC-950 SIC SCSI Host	unknown
FDC1600	unknown	unknown	Future Domain	PNP-1630/1640 PnP SCSI	unknown
FDC1695	unknown	unknown	Future Domain	TMC-1695 PnP SCSI Host	unknown
FDC9516	unknown	unknown	Future Domain	TMC-1695 PnP SCSI Host	unknown
FHL6841	modem	unknown	Gazel	Djinn Internet 128
FPS0001	unknown	unknown	Fiskars	UPS	unknown
GRV0001	sound	gus	Gravis	UltraSound Plug-and-Play	HAS_DMA16
GIC1000	modem	unknown	General Intrument	SURFboard Network adapter	unknown
GSM36B1	unknown	unknown	LG	HiSync 14S	unknown
GSM36B4	unknown	unknown	LG	StudioWorks 44m	unknown
GSM36B9	unknown	unknown	LG	StudioWorks 44i	unknown
GSM36BB	unknown	unknown	LG	StudioWorks 45i	unknown
GSM3AA0	unknown	unknown	LG	1505s	unknown
GSM3AA1	unknown	unknown	LG	HiSync 15S	unknown
GSM3AA2	unknown	unknown	LG	StudioWorks 56m	unknown
GSM3AA5	unknown	unknown	LG	HiSync 15VH	unknown
GSM3AA6	unknown	unknown	LG	HiSync 15XH	unknown
GSM3AA8	unknown	unknown	LG	StudioWorks 56i	unknown
GSM3AA9	unknown	unknown	LG	StudioWorks 54m	unknown
GSM3AAA	unknown	unknown	LG	HiSync 15VN	unknown
GSM3AAB	unknown	unknown	LG	HiSync 15SF	unknown
GSM3AAC	unknown	unknown	LG	1537	unknown
GSM3AAE	unknown	unknown	LG	1535	unknown
GSM3AAF	unknown	unknown	LG	StudioWorks 56T	unknown
GSM3AB1	unknown	unknown	LG	HiSync 15SX	unknown
GSM3AB6	unknown	unknown	LG	StudioWorks 5D	unknown
GSM3ABD	unknown	unknown	LG	StudioWorks 55i	unknown
GSM426A	unknown	unknown	LG	HiSync 17S	unknown
GSM426C	unknown	unknown	LG	StudioWorks 78i	unknown
GSM426D	unknown	unknown	LG	StudioWorks 78T	unknown
GSM426E	unknown	unknown	LG	StudioWorks 76i	unknown
GSM4270	unknown	unknown	LG	HiSync 17XR	unknown
GSM4271	unknown	unknown	LG	HiSync 17XH	unknown
GSM4272	unknown	unknown	LG	HiSync 17SH	unknown
GSM4273	unknown	unknown	LG	StudioWorks 76m	unknown
GSM4274	unknown	unknown	LG	StudioWorks 78m	unknown
GSM4276	unknown	unknown	LG	HiSync 17SF	unknown
GSM4277	unknown	unknown	LG	StudioWorks 74m	unknown
GSM4278	unknown	unknown	LG	StudioWorks 74i	unknown
GSM4279	unknown	unknown	LG	HiSync 17SX	unknown
GSM427A	unknown	unknown	LG	HiSync 17XDR	unknown
GSM427E	unknown	unknown	LG	StudioWorks 7D	unknown
GSM427F	unknown	unknown	LG	StudioWorks 78D	unknown
GSM4280	unknown	unknown	LG	StudioWorks 78DT	unknown
GSM4281	unknown	unknown	LG	StudioWorks 7DT	unknown
GSM4284	unknown	unknown	LG	StudioWorks 76T	unknown
GSM428A	unknown	unknown	LG	StudioWorks 77i	unknown
GSM42CF	unknown	unknown	LG	1725	unknown
GSM4E21	unknown	unknown	LG	StudioWorks 20i	unknown
GSM4E22	unknown	unknown	LG	2010i	unknown
GSM4E23	unknown	unknown	LG	HiSync 20VRp	unknown
GSM520B	unknown	unknown	LG	StudioWorks 28i	unknown
GVC0303	modem	unknown	Rockwell	V.34 Plug & Play Modem	unknown
GVC0304	modem	unknown	Rockwell	V.34 Plug & Play Modem	unknown
GWY0038	modem	unknown	Gateway	Telepath 56K Voice Faxmodem	unknown
HAY0001	unknown	unknown	Hayes	Optima 288 V.34/FAX/Voice/ESP	unknown
HEI5864	unknown	unknown	HYUNDAI	DeluxScan 15 Pro	unknown
HEIB81E	unknown	unknown	HYUNDAI	DeluxScan 17	unknown
HSL057A	unknown	unknown	Hansol	Mazelan 400A	unknown
HTCAB6F	unknown	unknown	Hitachi	CM-1711M	unknown
HTCABC2	unknown	unknown	Hitachi	CM-2112M	unknown
HTCABC7	unknown	unknown	Hitachi	CM-2111M	unknown
HTCABCC	unknown	unknown	Hitachi	CM-2110M	unknown
HWP0AF0	unknown	unknown	HP	D2800A UltraVGA 1600	unknown
HWP0AF6	unknown	unknown	HP	D2806A ErgoUltraVGA	unknown
HWP0AFF	unknown	unknown	HP	D1815A 1024	unknown
HWP0F11	unknown	unknown	HP	D3857A MultiMedia	unknown
HWP0F12	unknown	unknown	HP	D3858A MultiMedia	unknown
HWP1400	unknown	unknown	HP	Dual Serial Interface  (24541B)	unknown
HWP1461	unknown	unknown	HP	ScanJet Plus	unknown
HWP1820	unknown	unknown	HP	EtherTwist Adapter Card/8 (27245-60002)	unknown
HWP1832	unknown	unknown	HP	EtherTwist PC LAN Adapter/16 TP Plus (27247B)	unknown
HWP1840	unknown	unknown	HP	Ethertwist EISA LAN	unknown
HWP18A0	unknown	unknown	HP	EtherTwist PC LAN Adapter/16 TL Plus (27252A)	unknown
HWP18C0	unknown	unknown	HP	EtherTwist PC LAN Adapter NC/16 TP (J2405A)	unknown
HWP1920	unknown	unknown	HP	27248B 10 MB/s Ethernet Adapter	unknown
HWP1940	unknown	unknown	HP	J2577A 10/100VG EISA LAN	unknown
HWP1950	unknown	unknown	HP	J2573A 10/100VG ISA LAN	unknown
HWP1C00	unknown	unknown	HP	Serial/Parallel Interface  (24540B)	unknown
HWP1C10	unknown	unknown	HP	COM and LPT Ports Combo Card	unknown
HWP2002	unknown	unknown	HP	ScanJet II	unknown
HWPC0F1	unknown	unknown	HP	NetServer 5/133 LC	unknown
HWPF150	unknown	unknown	HP	J2573A 10/100 Ethernet Adapter	unknown
HWPF180	unknown	unknown	HP	J2577A 10/100 Ethernet Adapter	unknown
IBM0000	unknown	unknown	IBM	Auto LANStreamer PCI	unknown
IBM0001	unknown	unknown	IBM	Auto 16/4 ISA Token-Ring	unknown
IBM0002	unknown	unknown	IBM	Thinkpad Infrared Port	unknown
IBM0003	unknown	unknown	IBM	EtherStreamer MC 32	unknown
IBM0005	unknown	unknown	Unknown	Power Management	unknown
IBM0007	unknown	unknown	Unknown	L2 Cache	unknown
IBM0008	unknown	unknown	Unknown	NVRAM	unknown
IBM0009	unknown	unknown	Unknown	CMOS	unknown
IBM000A	unknown	unknown	Unknown	Memory controller	unknown
IBM000B	unknown	unknown	Unknown	Operator's Panel	unknown
IBM000D	unknown	unknown	PowerPC	Extended Interrupt Controller	unknown
IBM000E	unknown	unknown	Crystal	CS4231 Audio Device	unknown
IBM000F	unknown	unknown	NCR	810 SCSI Controller	unknown
IBM0010	unknown	unknown	IBM	Ethernet	unknown
IBM0011	unknown	unknown	IBM	Service Processor	unknown
IBM0012	joystick	unknown	Crystal	CS4232 Game Port	unknown
IBM0013	unknown	unknown	Crystal	CS4232 MIDI	unknown
IBM0014	unknown	unknown	Unknown	Graphics Assist	unknown
IBM0015	unknown	unknown	ASCII	V7310 Video Capture	unknown
IBM0016	unknown	unknown	AMD	79C970 Ethernet	unknown
IBM0017	unknown	unknown	Crystal	CS4232 Audio Device	unknown
IBM0018	unknown	unknown	NCR	875 SCSI Controller	unknown
IBM0019	unknown	unknown	IBM	Tablet Controller	unknown
IBM001B	unknown	unknown	NCR	825 SCSI Controller	unknown
IBM001C	unknown	unknown	EPP	Parallel port	unknown
IBM001D	sound	unknown	Yamaha	YMF289B Sound Chip	unknown
IBM001E	unknown	unknown	Unknown	Lightning/Terlingua Support Processor	unknown
IBM001F	unknown	unknown	Terlingua	Mini-SP	unknown
IBM0034	unknown	unknown	IBM	Thinkpad Infrared Port	unknown
IBM198E	unknown	unknown	IBM	G41/G50	unknown
IBM1990	unknown	unknown	IBM	G70	unknown
IBM1991	unknown	unknown	IBM	G200	unknown
IBM1999	unknown	unknown	IBM	P50	unknown
IBM199A	unknown	unknown	IBM	P70	unknown
IBM199B	unknown	unknown	IBM	P200	unknown
IBM2001	unknown	unknown	IBM	EISA Ethernet	unknown
IBM2112	unknown	unknown	IBM	2112	unknown
IBM2113	unknown	unknown	IBM	2113	unknown
IBM2114	unknown	unknown	IBM	2114	unknown
IBM2115	unknown	unknown	IBM	2115	unknown
IBM2117	unknown	unknown	IBM	2117	unknown
IBM2215	unknown	unknown	IBM	2215	unknown
IBM2238	unknown	unknown	IBM	2238	unknown
IBM2248	unknown	unknown	IBM	2248	unknown
IBM2264	unknown	unknown	IBM	2264	unknown
IBM2535	unknown	unknown	IBM	9525-0X1	unknown
IBM36E0	unknown	unknown	IBM	Mwave DSP Processor	unknown
IBM36F1	unknown	unknown	IBM	Mwave Midi Synthesizer	unknown
IBM36F2	sound	sb	IBM	Mwave SoundBlaster	unknown
IBM5250	unknown	unknown	IBM	Enhanced 5250 Emulation Adapter	unknown
IBM6312	unknown	unknown	IBM	6312	unknown
IBM6314	unknown	unknown	IBM	6314	unknown
IBM6315	unknown	unknown	IBM	6315	unknown
IBM6317	unknown	unknown	IBM	6317	unknown
IBM6319	unknown	unknown	IBM	6319	unknown
IBM6321	unknown	unknown	IBM	6321	unknown
IBM6322	unknown	unknown	IBM	6322	unknown
IBM6324	unknown	unknown	IBM	6324	unknown
IBM6325	unknown	unknown	IBM	6324	unknown
IBM6327	unknown	unknown	IBM	6327	unknown
IBM8504	unknown	unknown	IBM	8504	unknown
IBM8511	unknown	unknown	IBM	8511	unknown
IBM8512	unknown	unknown	IBM	8512	unknown
IBM8513	unknown	unknown	IBM	8513	unknown
IBM8514	unknown	unknown	IBM	8514	unknown
IBM8515	unknown	unknown	IBM	8515	unknown
IBM8517	unknown	unknown	IBM	8517	unknown
IBM8518	unknown	unknown	IBM	8518	unknown
IBM9504	unknown	unknown	IBM	9504	unknown
IBM9515	unknown	unknown	IBM	9515	unknown
IBM9517	unknown	unknown	IBM	9517	unknown
IBM9518	unknown	unknown	IBM	9518	unknown
IBM9521	unknown	unknown	IBM	9521	unknown
IBM9524	unknown	unknown	IBM	9524	unknown
IBM9525	unknown	unknown	IBM	9525-0X1	unknown
IBM9527	unknown	unknown	IBM	9527	unknown
ICL0100	unknown	unknown	Fujitsu	ICL ErgoPro 211v	unknown
ICL0200	unknown	unknown	Fujitsu	ICL ErgoPro 171p	unknown
ICL0400	unknown	unknown	Fujitsu	ICL ErgoPro 171v	unknown
ICL0700	unknown	unknown	Fujitsu	ICL ErgoPro 151p	unknown
ICL0800	unknown	unknown	Fujitsu	ICL ErgoPro 151p AutoBrite	unknown
ICL0A00	unknown	unknown	Fujitsu	ICL ErgoPro 151v	unknown
ICL0B00	unknown	unknown	Fujitsu	ICL ErgoPro 141v	unknown
ICL0D00	unknown	unknown	Fujitsu	ICL ErgoPro 141p	unknown
ICL0F00	unknown	unknown	Fujitsu	ICL ErgoPro 152v	unknown
ICL1400	unknown	unknown	Fujitsu	ICL ErgoPro 142v	unknown
ICLA080	unknown	unknown	Fujitsu	ICL EtherTeam 32 EISA 32-bit Ethernet Controller	unknown
ICLA090	unknown	unknown	ICL	EtherTeam PCI/ISA Ethernet Adapter	unknown
ICU0010	modem	unknown	Intel	SatisFAXtion Modem/400	unknown
ICU0020	modem	unknown	Intel	SatisFAXtion Modem/100	unknown
ICU0030	unknown	unknown	Digi	DigiChannel PC/4E Serial Adapter	unknown
ICU0040	unknown	unknown	Western Digital	WD1003V-MM2(w FIRMWARE) HDC/FDC	unknown
ICU0041	unknown	unknown	Western Digital	WD1003V-MM2(w/o FIRMWARE) HDC/FDC	unknown
ICU0050	unknown	unknown	Western Digital	WD1007A-WA2(w BIOS) HDC/FDC	unknown
ICU0051	unknown	unknown	Western Digital	WD1007A-WA2(w/o BIOS) HDC/FDC	unknown
ICU0060	unknown	unknown	Archive	SC402/VP402 QIC-02 Tape	unknown
ICU0070	unknown	unknown	Wangtek	PC-36 Tape	unknown
ICU0080	unknown	unknown	Wangtek	PC-02 Tape	unknown
ICU0091	unknown	unknown	Adaptec	AHA-1540/1542 SCSI	unknown
ICU00A1	unknown	unknown	DPT	PM2011B1 SmartCache Plus SCSI	unknown
ICU00B0	unknown	unknown	3COM	Etherlink II (3C503)	unknown
ICU00C0	unknown	unknown	3COM	Etherlink 16 (3C507)	unknown
ICU00D0	unknown	unknown	SMC	PC600WS	unknown
ICU00E0	unknown	unknown	SMC	PC130E	unknown
ICU0100	unknown	unknown	Western Digital	WD8003E	unknown
ICU0110	unknown	unknown	Paradise	VGA Plus 16	unknown
ICU0120	unknown	unknown	Paradise	VGA 1024	unknown
ICU0130	unknown	unknown	Orchid	Prodesigner IIs	unknown
ICU0150	unknown	unknown	Orchid	Fahrenheit 1280	unknown
ICU0180	sound	sb	Creative Labs	Sound Blaster	unknown
ICU0190	sound	sb	Creative Labs	Sound Blaster Pro	HAS_DMA16
ICU01A0	sound	sb	Creative Labs	Sound Blaster 16ASP	HAS_DMA16
ICU01A1	sound	sb	Creative Labs	Sound Blaster 16	HAS_DMA16
ICU01A2	sound	sb	Unknown	Sound Blaster 16 SCSI-2	unknown
ICU01A3	sound	sb	Unknown	Sound Blaster 16ASP/CD-ROM	unknown
ICU01A4	sound	sb	Unknown	JAZZ 16 Audio Card	HAS_DMA16
ICU01A5	unknown	unknown	Premium	3-D SCSI2/Pro 3-D SCSI2	unknown
ICU01B0	sound	gus	Gravis	Ultra Sound	HAS_DMA16	
ICU01C0	sound	sb	Logitech	Soundman 16	HAS_DMA16|HAS_JOYSTICK
ICU01D0	unknown	unknown	Media Vision	Thunder	unknown
ICU01E0	sound	pas2	Unknown	Pro Audio Spectrum 16	HAS_DMA16
ICU01E1	sound	pas2	Unknown	Pro AudioStudio	HAS_DMA16
ICU01F0	unknown	unknown	Microsoft Windows	Sound System	unknown
ICU0200	unknown	unknown	Intel	Above  Plus 8 I/O	unknown
ICU0210	unknown	unknown	Logitech	Bus Mouse	unknown
ICU0211	unknown	unknown	Microsoft	Bus Mouse	unknown
ICU0220	unknown	unknown	Microfield	Graphics V8	unknown
ICU0230	unknown	unknown	Accton	Ringpair-4/16 (TR1605)	unknown
ICU0231	unknown	unknown	Accton	MPX Ethernet Adapter (EN165x)	unknown
ICU0240	unknown	unknown	CNet	CN600E/680E	unknown
ICU0250	unknown	unknown	CNet	CN1000T	unknown
ICU0260	unknown	unknown	CNet	CN850E	unknown
ICU0270	unknown	unknown	CNet	CN800E/880E	unknown
ICU0280	unknown	unknown	Cogent	E/Master II-AT	unknown
ICU0290	unknown	unknown	Cogent	E/Master I-AT	unknown
ICU02A0	ethernet	ne	D-Link	DE-100	unknown
ICU02B0	ethernet	ne	D-Link	DE-200	unknown
ICU02C0	ethernet	ne	Eagle/Novell	NE1000 (810-160-00X)	unknown
ICU02C1	ethernet	ne	Eagle/Novell	NE1000 (950-054401)	unknown
ICU02D0	ethernet	ne	Eagle/Novell	NE1500T	unknown
ICU02E0	ethernet	ne	Eagle/Novell	NE2100	unknown
ICU02F0	unknown	unknown	Gateway	Ethertwist 16 (Fujitsu Chipset)	unknown
ICU02F1	unknown	unknown	Gateway	Ethertwist 16 (National Chipset)	unknown
ICU0300	unknown	unknown	Gateway	Ethertwist PC/PC-WS(National Chipset)	unknown
ICU0310	unknown	unknown	Proteon	ProNET-4/16 Model p1390	unknown
ICU0320	unknown	unknown	Racal-Datacom	InterLan AT	unknown
ICU0330	unknown	unknown	SMC	PC330	unknown
ICU0340	unknown	unknown	SMC	PC500	unknown
ICU0350	unknown	unknown	SMC	PC550	unknown
ICU0360	unknown	unknown	SMC	PC650	unknown
ICU0370	unknown	unknown	SMC	PC270E	unknown
ICU0380	unknown	unknown	SMC	3008	unknown
ICU0390	unknown	unknown	SMC	3016	unknown
ICU03A0	unknown	unknown	Thomas-Conrad	TC5045-2	unknown
ICU03B0	unknown	unknown	Thomas-Conrad	TC6042/TC6142/TC6242	unknown
ICU03C0	unknown	unknown	Thomas-Conrad	TC6045	unknown
ICU03D0	unknown	unknown	Thomas-Conrad	TC6245	unknown
ICU03E0	unknown	unknown	Tiara	Lancard 2002/2003	unknown
ICU03F0	unknown	unknown	Tiara	Lancard AT	unknown
ICU0400	unknown	unknown	Tiara	Lancard PC	unknown
ICU0410	unknown	unknown	Tiara	ARCNET Lancard AT	unknown
ICU0420	unknown	unknown	Tiara	Ethernet Lancard * 2000	unknown
ICU0430	unknown	unknown	Tiara	Ethernet Lancard E2000	unknown
ICU0440	unknown	unknown	Tiara	Lancard A-286	unknown
ICU0450	unknown	unknown	Tiara	Lancard E	unknown
ICU0460	unknown	unknown	Tiara	Lancard E * AT	unknown
ICU0470	unknown	unknown	Tiara	Lancard E * AT TP	unknown
ICU0480	unknown	unknown	Tiara	Lancard E * PC	unknown
ICU0490	unknown	unknown	Tiara	Lancard E * PC10BT	unknown
ICU04A0	unknown	unknown	Tiara	Lancard E * PC10TP	unknown
ICU04B0	unknown	unknown	Tiara	Token Ring Lancard*16 AT	unknown
ICU04C0	unknown	unknown	Zenith	LAN10E-MAT/FAT/FL-AT	unknown
ICU04D0	unknown	unknown	Zenith	LAN16TR-AT	unknown
ICU04E0	unknown	unknown	Zenith	LAN16TR-XT	unknown
ICU04F0	unknown	unknown	Zenith	LAN4TR-AT	unknown
ICU0500	unknown	unknown	Zenith	LAN4TR-XT	unknown
ICU0510	unknown	unknown	Zenith	OfficeNIC	unknown
ICU0520	unknown	unknown	Zenith	XT Lancard	unknown
ICU0530	modem	unknown	BOCA	M1440I 14.4Kbps V.32bis Modem	unknown
ICU0540	unknown	unknown	Always Technology	IN-2000 SCSI	unknown
ICU0550	unknown	unknown	Data Technology	DTC3180A/DTC3280A SCSI	unknown
ICU0560	unknown	unknown	DTC3150	SCSI	unknown
ICU0561	unknown	unknown	DTC3150B	SCSI	unknown
ICU0570	unknown	unknown	Data Technology	DTC3250 SCSI	unknown
ICU0580	unknown	unknown	Future Domain	TMC-850xx (8-bit) SCSI	unknown
ICU0590	unknown	unknown	Future Domain	TMC-885/TMC-860 SCSI	unknown
ICU05A0	unknown	unknown	Future Domain	TMC-16xx SCSI	unknown
ICU05B0	unknown	unknown	Future Domain	TMC-16xx SCSI	unknown
ICU05C0	ide	unknown	Promise Technology	DC-2030 IDE	unknown
ICU05D0	ide	unknown	Promise Technology	DC-2031 IDE	unknown
ICU05E0	scsi	unknown	Promise Technology	DC-2040 SCSI	unknown
ICU05F0	unknown	unknown	Ultrastor	ULTRA14F SCSI	unknown
ICU0600	unknown	unknown	Ultrastor	ULTRA12C/12F ESDI	unknown
ICU0610	ide	unknown	Ultrastor	ULTRA15C IDE	unknown
ICU0620	ide	unknown	Longshine	LCS-6624/6624G IDE	unknown
ICU0630	scsi	unknown	Longshine	LCS-6631/6631F SCSI	unknown
ICU0640	unknown	unknown	Intel	EtherExpress TPE Hub	unknown
ICU0650	modem	unknown	US Robotics	Sportster 9600/PC Modem w/V.42BIS	unknown
ICU0660	modem	unknown	Zoom	AFC FAX Modem	unknown
ICU0680	unknown	unknown	DFI	DIO-500 Serial/Parallel I/O Card	unknown
ICU0681	unknown	unknown	DFI	DIO-200 Serial/Parallel I/O Card	unknown
ICU0690	modem	unknown	Practical Peripherals	PM9600FX Modem/FAX	unknown
ICU06A0	modem	unknown	Practical Peripherals	PM2400 Modem	unknown
ICU06B0	modem	unknown	Zoom	VFP V.32bis FAX Modem	unknown
ICU06C0	modem	unknown	Zoom	VP V.32bis Modem	unknown
ICU06D0	modem	unknown	Zoom	AMC 2400 Modem	unknown
ICU06E0	modem	unknown	Cardinal	MVP96IF 9600 Baud FAX/Modem	unknown
ICU06E1	modem	unknown	Cardinal	MVP144DSP Modem	unknown
ICU06E2	modem	unknown	Cardinal	MVP144IF Modem	unknown
ICU06E3	modem	unknown	Cardinal	MVP192I Modem	unknown
ICU06E4	modem	unknown	Cardinal	MVP24IF Soft V.42 Modem	unknown
ICU06E5	modem	unknown	PC Logic	FAX144DM	unknown
ICU06E6	modem	unknown	PC Logic	FAX144I	unknown
ICU06E7	modem	unknown	PC Logic	FAX192I	unknown
ICU06E8	modem	unknown	PC Logic	24I-SRF-Soft V.42	unknown
ICU06F0	modem	unknown	Cardinal	MB2296SR 9600 Baud FAX/Modem	unknown
ICU06F1	modem	unknown	Zoom/Voice	FaxModem VFP 14.4V	unknown
ICU0700	modem	unknown	Hayes Accura	2400B Modem	unknown
ICU0710	modem	unknown	US Robotics	Sportster 2400/PC Modem	unknown
ICU0720	modem	unknown	US Robotics	Sportster 14,400/PC FAX/Modem	unknown
ICU0730	modem	unknown	Intel	SatisFAXtion Modem/200	unknown
ICU0740	unknown	unknown	Racal	InterLan NI5210-10BT	unknown
ICU0750	unknown	unknown	Racal	InterLan NI6510-UTP	unknown
ICU0760	unknown	unknown	Intel	Smart Video Recorder	unknown
ICU0770	unknown	unknown	Diamond	Stealth Pro	unknown
ICU0780	unknown	unknown	Diamond	SpeedStar 24X VGA	unknown
ICU0790	unknown	unknown	Video Seven	WIN.PRO card	unknown
ICU0800	unknown	unknown	Video Seven	WIN.VGA card	unknown
ICU0810	unknown	unknown	BOCA	Super X Accelerator VGA	unknown
ICU0820	unknown	unknown	Metheus	Premier 928	unknown
ICU0830	unknown	unknown	Graphics	ENGINE ULTRA Series	unknown
ICU0840	unknown	unknown	Cardinal	VIDEO spectrum	unknown
ICU0850	unknown	unknown	SigmaDesigns	Legend 24LX	unknown
ICU0860	unknown	unknown	Hercules	Graphite Card	unknown
ICU0870	unknown	unknown	Focus	GUIVGA	unknown
ICU0880	unknown	unknown	AIR	AVIEW2V SVGA	unknown
ICU0890	unknown	unknown	NDI	Volante Warp Series Warp10	unknown
ICU0900	unknown	unknown	NDI	Volante Warp Series Warp10LB & 24LB	unknown
ICU0910	unknown	unknown	Alpha	Cyber Audio	unknown
ICU0920	unknown	unknown	Genoa	SuperVGA 6000 Series	unknown
ICU0950	unknown	unknown	Acculogic	sIDE-3/plus	unknown
ICU0960	unknown	unknown	Alpha	Research S4251 ISA	unknown
ICU0970	unknown	unknown	CMS	Enhancement Universal AT/XT Card	unknown
ICU0980	unknown	unknown	Eastern	IDC-747	unknown
ICU1000	unknown	unknown	Unknown	NCL538/NCL539	unknown
ICU1010	unknown	unknown	Unknown	NCL538B	unknown
ICU1020	unknown	unknown	Unknown	NCL538C	unknown
ICU1030	ide	unknown	easyCACHE	IDE/easyCACHEPro IDE	unknown
ICU1040	unknown	unknown	Plus Development	HARDCARD II XL	unknown
ICU1050	unknown	unknown	Plus Development	HARDCARD II	unknown
ICU1060	unknown	unknown	Seagate	ST05A	unknown
ICU1080	unknown	unknown	Silicon	ADP60	unknown
ICU1090	unknown	unknown	Silicon	ADP65	unknown
ICU1100	unknown	unknown	Adaptec	AHA-1520/1522 SCSI/FDC	unknown
ICU1120	unknown	unknown	Bustek	BT-542B	unknown
ICU1130	unknown	unknown	Bustek	BT-542S/BT-542D	unknown
ICU1140	unknown	unknown	Computer	Electronik Infosys C5610	unknown
ICU1150	unknown	unknown	Computer	Electronik Infosys C5630	unknown
ICU1160	unknown	unknown	Computer	Electronik Infosys C5635	unknown
ICU1181	unknown	unknown	DPT	PM2001 SmartConnex SCSI	unknown
ICU1190	unknown	unknown	Quantum	ISA-200S	unknown
ICU1200	unknown	unknown	easyCACHE	SCSI/easyCACHEPro SCSI	unknown
ICU1230	unknown	unknown	Procomp	S-DCB	unknown
ICU1240	unknown	unknown	Procomp	USA, Incorporated S-DCB	unknown
ICU1250	unknown	unknown	Rancho	RT10-AT	unknown
ICU1260	unknown	unknown	SMS	OMTI-810/812/820/822	unknown
ICU1300	unknown	unknown	IBM	Token-Ring 16/4 Adapter	unknown
ICU1310	unknown	unknown	Thomas	TC-4045	unknown
ICU1331	unknown	unknown	DPT	PM2011 SmartCache Plus SCSI	unknown
ICU1341	unknown	unknown	DPT	PM2021 SmartCache III SCSI	unknown
ICU1360	ide	unknown	SyQuest	SQ08 IDE	unknown
